City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Saint-Augustin,CA,51.226,-58.6502,33.53,84,100,19.8,snow
308,Nadym,RU,65.5333,72.5167,20.16,96,100,4.36,overcast clouds
309,Qiongshan,CN,20.0058,110.3542,66.18,94,75,6.71,light rain
310,San Jose De Rio Tinto,HN,14.9333,-85.7,89.17,80,98,4.83,overcast clouds
311,San Angelo,US,31.4638,-100.437,82.89,54,75,16.11,broken clouds
312,Arteaga,MX,18.4667,-102.4167,80.1,20,49,7.87,scattered clouds
313,Hasaki,JP,35.7333,140.8333,55.8,55,100,16.87,overcast clouds
314,Okhotsk,RU,59.3833,143.3,36.45,80,30,7.25,scattered clouds
315,Russell,US,32.3502,-85.1999,80.2,65,20,5.75,few clouds
316,Vestmanna,FO,62.1564,-7.1664,38.32,70,75,14.97,broken clouds
317,Zaozhuang,CN,34.8647,117.5542,66.16,26,0,5.03,clear sky
318,Luganville,VU,-15.5333,167.1667,81.7,77,100,0.43,overcast clouds
319,Douglas,US,41.3,-96.167,63.59,55,0,5.75,clear sky
320,Mishelevka,RU,52.8575,103.1719,56.23,56,99,2.01,overcast clouds
321,Bilibino,RU,68.0546,166.4372,22.06,58,33,2.93,scattered clouds
322,Kongoussi,BF,13.3258,-1.5347,90.48,34,56,3.58,broken clouds
323,Adrar,MR,20.5022,-10.0711,78.28,15,0,11.48,clear sky
324,Mashhad,IR,36.297,59.6062,60.94,94,75,0.0,broken clouds
325,Sao Raimundo Nonato,BR,-9.0153,-42.6994,75.72,52,32,1.34,scattered clouds
326,Turukhansk,RU,65.8167,87.9833,24.55,92,56,10.83,broken clouds
327,Letlhakeng,BW,-24.0944,25.0298,61.61,58,2,6.58,clear sky
328,College,US,64.8569,-147.8028,54.28,33,100,9.22,overcast clouds
329,Oktyabrskiy,RU,54.4815,53.471,32.88,63,0,3.65,clear sky
330,Chinhoyi,ZW,-17.3667,30.2,57.02,86,39,5.84,scattered clouds
331,Tuatapere,NZ,-46.1333,167.6833,59.11,75,12,7.23,few clouds
332,Baruun-Urt,MN,46.6806,113.2792,55.53,44,54,11.99,broken clouds
333,Sabang,ID,5.8933,95.3214,83.55,74,100,18.59,overcast clouds
334,Arlit,NE,18.7369,7.3853,84.38,12,1,9.69,clear sky
335,Mabai,CN,23.0128,104.4508,48.81,83,98,7.0,overcast clouds
336,Samarai,PG,-10.6167,150.6667,82.56,74,46,8.77,scattered clouds
337,Starup,DK,55.241,9.535,42.67,80,0,1.14,clear sky
338,Arcachon,FR,44.5875,-1.0519,57.25,88,0,5.75,clear sky
339,Pointe Michel,DM,15.25,-61.3833,75.49,74,58,12.41,broken clouds
340,Cubara,CO,7.0008,-72.1085,72.32,96,94,3.27,overcast clouds
341,Clara,IE,53.3425,-7.6139,50.4,97,93,0.49,overcast clouds
342,Bud,US,39.447,-86.1758,65.62,73,97,13.53,overcast clouds
343,Bambanglipuro,ID,-7.95,110.2833,79.56,86,97,3.47,overcast clouds
344,Rutland,US,43.6167,-73.0162,64.38,29,0,3.44,clear sky
