City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Venice,US,2022-04-21 20:52:40,27.0998,-82.4543,87.84,45,20,14.97
137,Proletariy,RU,2022-04-21 20:54:33,58.4342,31.7046,41.27,88,8,4.76
138,Havre-Saint-Pierre,CA,2022-04-21 20:55:33,50.2334,-63.5986,37.76,56,100,11.5
139,Verkhnyaya Inta,RU,2022-04-21 20:55:34,65.9811,60.3094,7.48,98,97,4.94
140,Georgetown,MY,2022-04-21 20:54:37,5.4112,100.3354,81.95,94,20,3.44
141,Qaanaaq,GL,2022-04-21 20:55:34,77.484,-69.3632,-2.79,83,46,7.38
142,Lompoc,US,2022-04-21 20:55:34,34.6391,-120.4579,69.01,68,40,15.99
143,Yarada,IN,2022-04-21 20:55:35,17.65,83.2667,84.52,79,75,4.61
144,Rafaela,AR,2022-04-21 20:55:35,-31.2503,-61.4867,75.99,54,26,3.0
145,Maragogi,BR,2022-04-21 20:51:33,-9.0122,-35.2225,78.73,82,55,5.91
146,Broken Hill,AU,2022-04-21 20:55:35,-31.95,141.4333,47.91,87,98,3.44
147,Kalispell,US,2022-04-21 20:55:36,48.1958,-114.3129,54.37,56,100,1.03
148,Bathsheba,BB,2022-04-21 20:55:36,13.2167,-59.5167,83.01,57,75,17.27
149,Waingapu,ID,2022-04-21 20:55:36,-9.6567,120.2641,77.88,83,95,4.81
150,Sorland,NO,2022-04-21 20:55:36,67.667,12.6934,42.1,83,99,9.4
151,Tuktoyaktuk,CA,2022-04-21 20:55:37,69.4541,-133.0374,1.4,78,75,2.3
152,Fortuna,US,2022-04-21 20:55:37,40.5982,-124.1573,61.93,73,20,7.0
153,Akcakoca,TR,2022-04-21 20:55:37,41.0866,31.1162,50.18,84,30,4.34
154,College,US,2022-04-21 20:55:38,64.8569,-147.8028,45.23,41,48,1.99
155,San Jose,US,2022-04-21 20:55:38,37.3394,-121.895,65.21,56,0,11.99
156,Zyryanka,RU,2022-04-21 20:55:38,65.75,150.85,15.06,92,100,4.52
157,Rapid Valley,US,2022-04-21 20:55:39,44.0625,-103.1463,68.72,31,20,20.71
158,Carutapera,BR,2022-04-21 20:55:39,-1.195,-46.02,77.54,92,56,6.4
159,Port-Cartier,CA,2022-04-21 20:55:39,50.0334,-66.8654,39.31,82,100,10.25
160,Beringovskiy,RU,2022-04-21 20:55:39,63.05,179.3167,26.29,86,100,5.23
161,Kargasok,RU,2022-04-21 20:55:40,59.0556,80.8572,17.89,92,100,17.09
162,Zhengjiatun,CN,2022-04-21 20:55:40,43.5064,123.5064,43.7,57,100,11.52
163,Marquette,US,2022-04-21 20:55:40,46.5333,-87.6335,45.82,55,30,16.28
164,Weligama,LK,2022-04-21 20:55:41,5.9667,80.4167,77.94,88,45,3.13
165,Pergamino,AR,2022-04-21 20:55:41,-33.89,-60.5736,69.19,28,51,6.22
166,Vila Velha,BR,2022-04-21 20:55:41,-20.3297,-40.2925,78.75,83,0,6.91
167,Narsaq,GL,2022-04-21 20:55:42,60.9167,-46.05,36.99,83,100,0.78
168,Coffs Harbour,AU,2022-04-21 20:52:45,-30.3,153.1333,63.14,94,75,8.05
169,Abancay,PE,2022-04-21 20:55:42,-13.6339,-72.8814,70.02,55,87,6.53
170,Klaksvik,FO,2022-04-21 20:55:42,62.2266,-6.589,43.72,93,22,12.91
171,Manavalakurichi,IN,2022-04-21 20:55:43,8.1333,77.3,80.31,85,63,2.98
172,Banjarmasin,ID,2022-04-21 20:55:43,-3.3244,114.591,77.14,94,97,1.79
173,Tadine,NC,2022-04-21 20:55:43,-21.55,167.8833,75.4,66,59,5.32
174,Saint-Augustin,CA,2022-04-21 20:55:43,51.226,-58.6502,34.84,89,21,6.78
175,Nara,JP,2022-04-21 20:55:44,34.6851,135.8049,61.5,87,80,4.12
176,Hasaki,JP,2022-04-21 20:55:44,35.7333,140.8333,61.29,92,80,19.13
177,Tecolutla,MX,2022-04-21 20:55:44,20.4833,-97.0167,84.18,70,37,17.09
178,Shahrud,IR,2022-04-21 20:55:45,36.4182,54.9763,64.69,42,100,0.94
179,Kralendijk,BQ,2022-04-21 20:55:45,12.15,-68.2667,79.14,78,55,14.2
180,Kalashnikovo,RU,2022-04-21 20:55:45,57.2824,35.2262,42.73,89,100,2.73
181,Talnakh,RU,2022-04-21 20:54:02,69.4865,88.3972,6.19,82,100,1.72
182,Paamiut,GL,2022-04-21 20:55:46,61.994,-49.6678,33.17,94,100,28.43
183,Hithadhoo,MV,2022-04-21 20:55:46,-0.6,73.0833,83.64,72,12,9.42
184,Hudson Bay,CA,2022-04-21 20:55:46,52.85,-102.3842,38.39,63,100,4.81
185,Nome,US,2022-04-21 20:53:20,64.5011,-165.4064,38.1,54,4,5.91
186,Payyannur,IN,2022-04-21 20:55:47,12.1,75.2,81.66,85,23,2.39
187,Oga,IT,2022-04-21 20:56:47,46.4631,10.347,40.8,97,100,3.36
188,Isla Mujeres,MX,2022-04-21 20:56:47,21.2311,-86.731,84.16,72,63,13.56
189,Astana,KZ,2022-04-21 20:54:19,51.1801,71.446,40.95,93,40,6.71
190,At-Bashi,KG,2022-04-21 20:56:48,41.1702,75.8106,48.7,67,82,1.39
191,Honiara,SB,2022-04-21 20:56:48,-9.4333,159.95,81.32,80,100,3.4
192,Mwinilunga,ZM,2022-04-21 20:56:48,-11.7358,24.4293,61.39,96,72,4.18
193,Weymouth,US,2022-04-21 20:55:57,42.2209,-70.9398,59.9,56,100,14.0
194,Inta,RU,2022-04-21 20:56:49,66.0317,60.1659,7.32,97,91,5.21
195,Brodokalmak,RU,2022-04-21 20:56:49,55.5748,62.082,27.5,71,0,2.48
196,Kahului,US,2022-04-21 20:56:33,20.8947,-156.47,78.84,78,38,18.99
197,Cabo San Lucas,MX,2022-04-21 20:55:58,22.8909,-109.9124,79.05,67,1,5.99
198,Moerai,PF,2022-04-21 20:56:49,-22.4333,-151.3333,76.26,60,92,21.97
199,Evensk,RU,2022-04-21 20:56:50,61.95,159.2333,18.34,79,100,8.63
200,Tuatapere,NZ,2022-04-21 20:56:50,-46.1333,167.6833,47.52,80,100,12.06
201,Bethel,US,2022-04-21 20:56:50,41.3712,-73.414,56.03,58,99,4.0
202,Durban,ZA,2022-04-21 20:56:51,-29.8579,31.0292,69.03,94,32,1.01
